# Threshold|Target|Start|End|Ndays|Status|Value|Notes
avgGaps|IU.MAKZ.00.BHZ.M|2025-05-05|2025-05-12|7|2.0|TODO|
avgGaps|IU.RSSD.00.BH1.M|2025-05-05|2025-05-12|7|2.0|TODO|
avgGaps|IU.RSSD.00.BH2.M|2025-05-05|2025-05-12|7|2.0|TODO|
avgGaps|IU.RSSD.00.BHZ.M|2025-05-05|2025-05-12|7|2.0|TODO|
avgGaps|IU.SLBS.00.BH1.M|2025-05-05|2025-05-12|7|2.3|TODO|
avgGaps|IU.SLBS.00.BH2.M|2025-05-05|2025-05-12|7|2.3|TODO|
avgGaps|IU.SLBS.00.BHZ.M|2025-05-05|2025-05-12|7|2.3|TODO|
avgGaps|IU.AFI.10.HH1.M|2025-05-05|2025-05-12|7|59.9|TODO|
avgGaps|IU.AFI.10.HH2.M|2025-05-05|2025-05-12|7|59.9|TODO|
avgGaps|IU.AFI.10.HHZ.M|2025-05-05|2025-05-12|7|60.0|TODO|
avgGaps|IU.ANTO.00.HH1.M|2025-05-05|2025-05-12|7|5.4|TODO|
avgGaps|IU.ANTO.00.HH2.M|2025-05-05|2025-05-12|7|5.4|TODO|
avgGaps|IU.ANTO.00.HHZ.M|2025-05-05|2025-05-12|7|5.4|TODO|
avgGaps|IU.ANTO.10.HH1.M|2025-05-05|2025-05-12|7|2.0|TODO|
avgGaps|IU.ANTO.10.HH2.M|2025-05-05|2025-05-12|7|2.0|TODO|
avgGaps|IU.ANTO.10.HHZ.M|2025-05-05|2025-05-12|7|2.0|TODO|
avgGaps|IU.CCM.10.HH1.M|2025-05-05|2025-05-12|7|2.0|TODO|
avgGaps|IU.CCM.10.HH2.M|2025-05-05|2025-05-12|7|2.0|TODO|
avgGaps|IU.CCM.10.HHZ.M|2025-05-05|2025-05-12|7|2.0|TODO|
avgGaps|IU.CHTO.00.HH1.M|2025-05-05|2025-05-12|7|21.6|TODO|
avgGaps|IU.CHTO.00.HH2.M|2025-05-05|2025-05-12|7|21.4|TODO|
avgGaps|IU.CHTO.00.HHZ.M|2025-05-05|2025-05-12|7|21.3|TODO|
avgGaps|IU.CHTO.10.HH1.M|2025-05-05|2025-05-12|7|32.6|TODO|
avgGaps|IU.CHTO.10.HH2.M|2025-05-05|2025-05-12|7|31.9|TODO|
avgGaps|IU.CHTO.10.HHZ.M|2025-05-05|2025-05-12|7|30.9|TODO|
avgGaps|IU.COLA.00.HH1.M|2025-05-05|2025-05-12|7|17.4|TODO|
avgGaps|IU.COLA.00.HH2.M|2025-05-05|2025-05-12|7|17.6|TODO|
avgGaps|IU.COLA.00.HHZ.M|2025-05-05|2025-05-12|7|17.6|TODO|
avgGaps|IU.COLA.10.HH1.M|2025-05-05|2025-05-12|7|22.0|TODO|
avgGaps|IU.COLA.10.HH2.M|2025-05-05|2025-05-12|7|22.0|TODO|
avgGaps|IU.COLA.10.HHZ.M|2025-05-05|2025-05-12|7|22.0|TODO|
avgGaps|IU.CTAO.00.HH1.M|2025-05-05|2025-05-12|7|35.6|TODO|
avgGaps|IU.CTAO.00.HH2.M|2025-05-05|2025-05-12|7|35.7|TODO|
avgGaps|IU.CTAO.00.HHZ.M|2025-05-05|2025-05-12|7|35.6|TODO|
avgGaps|IU.CTAO.10.HH1.M|2025-05-05|2025-05-12|7|33.9|TODO|
avgGaps|IU.CTAO.10.HH2.M|2025-05-05|2025-05-12|7|33.9|TODO|
avgGaps|IU.CTAO.10.HHZ.M|2025-05-05|2025-05-12|7|33.7|TODO|
avgGaps|IU.DWPF.00.HH1.M|2025-05-05|2025-05-12|7|6.4|TODO|
avgGaps|IU.DWPF.00.HH2.M|2025-05-05|2025-05-12|7|6.4|TODO|
avgGaps|IU.DWPF.00.HHZ.M|2025-05-05|2025-05-12|7|6.4|TODO|
avgGaps|IU.DWPF.10.HH1.M|2025-05-05|2025-05-12|7|20.1|TODO|
avgGaps|IU.DWPF.10.HH2.M|2025-05-05|2025-05-12|7|20.1|TODO|
avgGaps|IU.DWPF.10.HHZ.M|2025-05-05|2025-05-12|7|20.0|TODO|
avgGaps|IU.FUNA.00.HH1.M|2025-05-05|2025-05-12|7|18.0|TODO|
avgGaps|IU.FUNA.00.HH2.M|2025-05-05|2025-05-12|7|18.0|TODO|
avgGaps|IU.FUNA.00.HHZ.M|2025-05-05|2025-05-12|7|18.0|TODO|
avgGaps|IU.GRFO.00.HH1.M|2025-05-05|2025-05-12|7|6.1|TODO|
avgGaps|IU.GRFO.00.HH2.M|2025-05-05|2025-05-12|7|6.1|TODO|
avgGaps|IU.GRFO.00.HHZ.M|2025-05-05|2025-05-12|7|6.1|TODO|
avgGaps|IU.GUMO.00.HH1.M|2025-05-05|2025-05-12|7|9.1|TODO|
